name,direction,pinned,non_blocking,dedicated_stream,size_mib,bytes,trial,wall_ms,cuda_ms,wall_gib_per_s,cuda_gib_per_s
d2h_pageable_blocking,d2h,False,False,False,8,8388608,12,0.5544070154428482,0.5375360250473022,14.091632649632952,14.53390960970944
d2h_pageable_blocking,d2h,False,False,False,8,8388608,13,0.5489960312843323,0.5308160185813904,14.230521815837687,14.717905501192226
d2h_pageable_blocking,d2h,False,False,False,8,8388608,14,0.5532437935471535,0.5357760190963745,14.12126099040302,14.58165300712106
d2h_pageable_blocking,d2h,False,False,False,8,8388608,15,0.5600070580840111,0.542464017868042,13.950717026191453,14.401876885224935
d2h_pageable_blocking,d2h,False,False,False,8,8388608,16,0.5513601936399937,0.5342720150947571,14.16950314897254,14.622701132145945
d2h_pageable_blocking,d2h,False,False,False,8,8388608,17,0.5572717636823654,0.5396479964256287,14.019192266940301,14.477029566951568
d2h_pageable_blocking,d2h,False,False,False,8,8388608,18,0.5560796707868576,0.5326399803161621,14.049245837283072,14.667505798875048
d2h_pageable_blocking,d2h,False,False,False,8,8388608,19,0.5600070580840111,0.5412480235099792,13.950717026191453,14.434232848253453
d2h_pageable_blocking,d2h,False,False,False,8,8388608,20,0.5534747615456581,0.5354880094528198,14.115368112147458,14.589495678872591
h2d_pinned_blocking,h2d,True,False,False,8,8388608,1,1.8748375587165356,1.8568320274353027,4.167027678572981,4.207434966958641
h2d_pinned_blocking,h2d,True,False,False,8,8388608,2,1.821987796574831,1.8036799430847168,4.287899191578989,4.33142256194233
h2d_pinned_blocking,h2d,True,False,False,8,8388608,3,1.7788270488381386,1.7603520154953003,4.3919390618120095,4.438032808910575
h2d_pinned_blocking,h2d,True,False,False,8,8388608,4,1.77721306681633,1.760159969329834,4.39592761603716,4.4385170303438635
h2d_pinned_blocking,h2d,True,False,False,8,8388608,5,1.7748400568962097,1.7574080228805542,4.401805092038704,4.445467357770787
h2d_pinned_blocking,h2d,True,False,False,8,8388608,6,1.7786556854844093,1.761504054069519,4.392362200147972,4.435130297856058
h2d_pinned_blocking,h2d,True,False,False,8,8388608,7,1.7725946381688118,1.755519986152649,4.407381040072842,4.450248394563521
h2d_pinned_blocking,h2d,True,False,False,8,8388608,8,1.7754407599568367,1.7573440074920654,4.400315784228099,4.445629294374382
h2d_pinned_blocking,h2d,True,False,False,8,8388608,9,1.782422885298729,1.7659519910812378,4.383078821775029,4.423959450458587
h2d_pinned_blocking,h2d,True,False,False,8,8388608,10,1.7737969756126404,1.7565120458602905,4.404393573453744,4.447734940624136
h2d_pinned_blocking,h2d,True,False,False,8,8388608,11,1.771864015609026,1.7538559436798096,4.409198409797088,4.4544707495237015
h2d_pinned_blocking,h2d,True,False,False,8,8388608,12,1.7956090159714222,1.7789759635925293,4.350891497263644,4.391571420798262
h2d_pinned_blocking,h2d,True,False,False,8,8388608,13,1.7622760497033596,1.7449599504470825,4.433187411992044,4.477180119806378
h2d_pinned_blocking,h2d,True,False,False,8,8388608,14,1.7710221000015736,1.7533760070800781,4.411294472267206,4.455690033656994
h2d_pinned_blocking,h2d,True,False,False,8,8388608,15,1.7692591063678265,1.7515519857406616,4.415690145033959,4.460330075042794
h2d_pinned_blocking,h2d,True,False,False,8,8388608,16,1.7668139189481735,1.7488960027694702,4.421801252647459,4.467103811563689
h2d_pinned_blocking,h2d,True,False,False,8,8388608,17,1.7651612870395184,1.7473920583724976,4.4259411632026655,4.470948555916226
h2d_pinned_blocking,h2d,True,False,False,8,8388608,18,1.763207372277975,1.7459839582443237,4.430845811350394,4.474554283909841
h2d_pinned_blocking,h2d,True,False,False,8,8388608,19,1.7630169168114662,1.746016025543213,4.431324467452886,4.474472104326424
h2d_pinned_blocking,h2d,True,False,False,8,8388608,20,1.782543957233429,1.765120029449463,4.382781119252327,4.426044614335209
d2h_pinned_blocking,d2h,True,False,False,8,8388608,1,0.3470848314464092,0.3310079872608185,22.508906446423804,23.60214949690662
d2h_pinned_blocking,d2h,True,False,False,8,8388608,2,0.3511030226945877,0.3335359990596771,22.251303734276938,23.423258724771614
d2h_pinned_blocking,d2h,True,False,False,8,8388608,3,0.3503807820379734,0.3333440124988556,22.297170394332017,23.436749145229722
d2h_pinned_blocking,d2h,True,False,False,8,8388608,4,0.3487491048872471,0.331712007522583,22.401491188130315,23.55205667213637
d2h_pinned_blocking,d2h,True,False,False,8,8388608,5,0.3489679656922817,0.3319360017776489,22.38744173695595,23.536163471756495
d2h_pinned_blocking,d2h,True,False,False,8,8388608,6,0.3503509797155857,0.3339200019836426,22.299067085076153,23.39632233346328
d2h_pinned_blocking,d2h,True,False,False,8,8388608,7,0.3497498109936714,0.3330880105495453,22.337395916823994,23.454761962493176
d2h_pinned_blocking,d2h,True,False,False,8,8388608,8,0.34934887662529945,0.33289599418640137,22.3630316933277,23.468290806844248
d2h_pinned_blocking,d2h,True,False,False,8,8388608,9,0.35264622420072556,0.33267199993133545,22.153930664384884,23.484092444246958
d2h_pinned_blocking,d2h,True,False,False,8,8388608,10,0.34993095323443413,0.33267199993133545,22.325832933007394,23.484092444246958
d2h_pinned_blocking,d2h,True,False,False,8,8388608,11,0.3494890406727791,0.33289599418640137,22.35406290555107,23.468290806844248
d2h_pinned_blocking,d2h,True,False,False,8,8388608,12,0.3489782102406025,0.3320640027523041,22.386784534810023,23.527090968145576
d2h_pinned_blocking,d2h,True,False,False,8,8388608,13,0.35005994141101837,0.3325760066509247,22.317606431942618,23.490870789726223
d2h_pinned_blocking,d2h,True,False,False,8,8388608,14,0.3500501625239849,0.3324800133705139,22.31822988930822,23.497653049279062
d2h_pinned_blocking,d2h,True,False,False,8,8388608,15,0.3485679626464844,0.3315199911594391,22.41313269493844,23.56569802224297
d2h_pinned_blocking,d2h,True,False,False,8,8388608,16,0.3593279980123043,0.33315199613571167,21.741974027118477,23.450257211778872
d2h_pinned_blocking,d2h,True,False,False,8,8388608,17,0.35034120082855225,0.33235201239585876,22.299689507039258,23.506702859059768
d2h_pinned_blocking,d2h,True,False,False,8,8388608,18,0.35037100315093994,0.33244800567626953,22.297792710415514,23.499915375060603
d2h_pinned_blocking,d2h,True,False,False,8,8388608,19,0.3505419008433819,0.332832008600235,22.286921994784684,23.4728024893291
d2h_pinned_blocking,d2h,True,False,False,8,8388608,20,0.35479897633194923,0.33270400762557983,22.01951110673623,23.481833163825524
h2d_pinned_nonblocking_default,h2d,True,True,False,8,8388608,1,64.41308092325926,1.8104640245437622,0.12128747589806628,4.3151920690436
h2d_pinned_nonblocking_default,h2d,True,True,False,8,8388608,2,1.8365457653999329,1.8006399869918823,4.253909783891893,4.338735147746789
h2d_pinned_nonblocking_default,h2d,True,True,False,8,8388608,3,1.7972211353480816,1.777567982673645,4.34698871849562,4.395049908723714
h2d_pinned_nonblocking_default,h2d,True,True,False,8,8388608,4,1.8344512209296227,1.8154560327529907,4.25876682403196,4.303326469522362
h2d_pinned_nonblocking_default,h2d,True,True,False,8,8388608,5,1.777505036443472,1.75872004032135,4.395205549252154,4.442151008054991
h2d_pinned_nonblocking_default,h2d,True,True,False,8,8388608,6,1.77779421210289,1.7600640058517456,4.394490625975697,4.438759030367937
h2d_pinned_nonblocking_default,h2d,True,True,False,8,8388608,7,1.7749089747667313,1.7559360265731812,4.401634174522535,4.449193980743468
h2d_pinned_nonblocking_default,h2d,True,True,False,8,8388608,8,1.7724540084600449,1.7537599802017212,4.407730729660911,4.4547144924024265
h2d_pinned_nonblocking_default,h2d,True,True,False,8,8388608,9,1.771843060851097,1.7536640167236328,4.4092505553213615,4.454958261957202
h2d_pinned_nonblocking_default,h2d,True,True,False,8,8388608,10,1.7742980271577835,1.7558720111846924,4.403149798072371,4.449356188967829
h2d_pinned_nonblocking_default,h2d,True,True,False,8,8388608,11,1.7712018452584743,1.7528640031814575,4.410846804904898,4.456991521202028
h2d_pinned_nonblocking_default,h2d,True,True,False,8,8388608,12,1.7692488618195057,1.7513279914855957,4.415715713370916,4.460900549743915
h2d_pinned_nonblocking_default,h2d,True,True,False,8,8388608,13,1.772215124219656,1.7545280456542969,4.408324866000684,4.45276438832106
h2d_pinned_nonblocking_default,h2d,True,True,False,8,8388608,14,1.7742076888680458,1.755519986152649,4.403373995625291,4.450248394563521
h2d_pinned_nonblocking_default,h2d,True,True,False,8,8388608,15,2.1701152436435223,2.151776075363159,3.6000392250520195,3.63072165800592
h2d_pinned_nonblocking_default,h2d,True,True,False,8,8388608,16,1.763627864420414,1.7460800409317017,4.429789389025924,4.47430805968739
h2d_pinned_nonblocking_default,h2d,True,True,False,8,8388608,17,1.7638676799833775,1.7452479600906372,4.429187114576318,4.476441272903289
h2d_pinned_nonblocking_default,h2d,True,True,False,8,8388608,18,1.7638178542256355,1.7461440563201904,4.429312233847356,4.474144027076436
h2d_pinned_nonblocking_default,h2d,True,True,False,8,8388608,19,1.7803204245865345,1.7619839906692505,4.388254997307236,4.43392223843793
h2d_pinned_nonblocking_default,h2d,True,True,False,8,8388608,20,1.759350299835205,1.7410240173339844,4.440559677473998,4.487301681204385
d2h_pinned_nonblocking_default,d2h,True,True,False,8,8388608,1,0.3418847918510437,0.3253760039806366,22.851265064179398,24.01068273143132
d2h_pinned_nonblocking_default,d2h,True,True,False,8,8388608,2,0.34484080970287323,0.32659199833869934,22.65538120830745,23.9212841702811
d2h_pinned_nonblocking_default,d2h,True,True,False,8,8388608,3,0.3453311510384083,0.32764801383018494,22.62321246290081,23.84418543751375
d2h_pinned_nonblocking_default,d2h,True,True,False,8,8388608,4,0.3419448621571064,0.3256640136241913,22.847250725500157,23.98944824470365
d2h_pinned_nonblocking_default,d2h,True,True,False,8,8388608,5,0.3434177488088608,0.32601600885391235,22.74926100091663,23.96354715053511
d2h_pinned_nonblocking_default,d2h,True,True,False,8,8388608,6,0.34478073939681053,0.3267520070075989,22.65932840003728,23.909570048389373
